,current,road diet,,,Current,Road Diet
0,6.22,6.22,,0,13.8706,13.8706
300,6.73,5.36,,300,15.0079,11.9528
600,5.93,5.99,,600,13.2239,13.3577
900,6.37,5.9,,900,14.2051,13.157
1200,6.18,5.4,,1200,13.7814,12.042
1500,6.24,5.64,,1500,13.9152,12.5772
1800,5.99,5.32,,1800,13.3577,11.8636
2100,6.39,5.46,,2100,14.2497,12.1758
2400,6.38,5.5,,2400,14.2274,12.265
2700,6.32,5.83,,2700,14.0936,13.0009
3000,6.56,6.08,,3000,14.6288,13.5584
3300,6.38,5.73,,3300,14.2274,12.7779
3600,6.37,5.72,,3600,14.2051,12.7556
3900,6.37,6.19,,3900,14.2051,13.8037
4200,5.82,5.27,,4200,12.9786,11.7521
4500,6.36,5.53,,4500,14.1828,12.3319
4800,5.79,5.76,,4800,12.9117,12.8448
5100,6.52,5.52,,5100,14.5396,12.3096
5400,6.16,5.82,,5400,13.7368,12.9786
5700,5.93,5.48,,5700,13.2239,12.2204
6000,6.44,5.52,,6000,14.3612,12.3096
6300,6.3,5.65,,6300,14.049,12.5995
6600,5.77,6.02,,6600,12.8671,13.4246
6900,6.16,5.18,,6900,13.7368,11.5514
7200,6.46,5.43,,7200,14.4058,12.1089
7500,6.17,5.53,,7500,13.7591,12.3319
7800,5.83,5.81,,7800,13.0009,12.9563
8100,6.4,5.7,,8100,14.272,12.711
8400,6.37,5.71,,8400,14.2051,12.7333
8700,5.79,5.39,,8700,12.9117,12.0197
9000,5.82,5.24,,9000,12.9786,11.6852
9300,5.84,5.24,,9300,13.0232,11.6852
9600,6.2,5.13,,9600,13.826,11.4399
9900,6.02,5.61,,9900,13.4246,12.5103
10200,6.53,5.56,,10200,14.5619,12.3988
10500,5.94,5.61,,10500,13.2462,12.5103
10800,6.27,6.24,,10800,13.9821,13.9152
11100,6.58,5.1,,11100,14.6734,11.373
11400,6.54,6.04,,11400,14.5842,13.4692
11700,5.79,5.81,,11700,12.9117,12.9563
12000,6.67,5.66,,12000,14.8741,12.6218
12300,6.02,5.46,,12300,13.4246,12.1758
12600,6.54,6.17,,12600,14.5842,13.7591
12900,6.39,6.1,,12900,14.2497,13.603
13200,6.47,5.59,,13200,14.4281,12.4657
13500,5.89,6.1,,13500,13.1347,13.603
13800,6.77,5.93,,13800,15.0971,13.2239
14100,6.27,6.17,,14100,13.9821,13.7591
14400,7.02,5.77,,14400,15.6546,12.8671
14700,6.68,5.92,,14700,14.8964,13.2016
15000,6.75,5.87,,15000,15.0525,13.0901
15300,6.23,5.94,,15300,13.8929,13.2462
15600,6.55,5.95,,15600,14.6065,13.2685
15900,6.59,5.91,,15900,14.6957,13.1793
16200,5.91,5.52,,16200,13.1793,12.3096
16500,6.96,6.16,,16500,15.5208,13.7368
16800,6.8,5.68,,16800,15.164,12.6664
17100,6.22,5.81,,17100,13.8706,12.9563
17400,6.34,6.56,,17400,14.1382,14.6288
17700,6.56,5.35,,17700,14.6288,11.9305
18000,6.56,6.72,,18000,14.6288,14.9856
18300,6.54,5.84,,18300,14.5842,13.0232
18600,7.94,6.51,,18600,17.7062,14.5173
18900,5.8,5.68,,18900,12.934,12.6664
19200,7.53,6.79,,19200,16.7919,15.1417
19500,6.58,5.97,,19500,14.6734,13.3131
19800,5.97,5.62,,19800,13.3131,12.5326
20100,7.91,6.05,,20100,17.6393,13.4915
20400,7.18,7.01,,20400,16.0114,15.6323
20700,6.2,6.3,,20700,13.826,14.049
21000,7.14,6.81,,21000,15.9222,15.1863
21300,6.5,5.8,,21300,14.495,12.934
21600,5.44,6.27,,21600,12.1312,13.9821
21900,7.31,,,21900,16.3013,0
22200,0.74,,,22200,1.6502,0
